"","crew","games","penalties","hPen","aPen","hYards","aYards","wPen","lPen","wYards","lYards"
"1","Adrian Hill",32,367,166,201,1382,1643,187,180,1439,1586
"2","Alan Eck",15,156,74,82,595,721,78,78,655,661
"3","Alex Kemp",33,398,182,216,1371,1851,192,206,1634,1588
"4","Bill Vinovich",32,323,157,166,1243,1203,173,150,1282,1164
"5","Brad Allen",32,363,166,197,1295,1513,178,185,1367,1441
"6","Brad Rogers",32,380,189,191,1518,1746,175,205,1479,1785
"7","Carl Cheffers",31,353,162,191,1436,1646,173,180,1504,1578
"8","Clay Martin",32,363,174,189,1594,1500,186,177,1633,1461
"9","Clete Blakeman",32,372,178,194,1419,1463,190,182,1497,1385
"10","Craig Wrolstad",32,313,158,155,1284,1430,149,164,1303,1411
"11","Jerome Boger",16,177,80,97,632,740,79,98,581,791
"12","John Hussey",32,343,156,187,1345,1542,163,180,1320,1567
"13","Land Clark",33,385,185,200,1638,1657,190,195,1606,1689
"14","Ron Torbert",32,377,196,181,1599,1429,180,197,1390,1638
"15","Scott Novak",32,349,181,168,1377,1393,177,172,1433,1337
"16","Shawn Hochuli",32,367,177,190,1544,1561,167,200,1491,1614
"17","Shawn Smith",31,359,178,181,1496,1492,180,179,1462,1526
"18","Tra Blake",32,394,196,198,1711,1599,176,218,1495,1815
